system,seed,family,config,force_rmse_rel,potential_error_rel,virial_error_rel,pressure_error_rel,batch_size,sog_terms
N160,42.0,pppm,grid=16^3,2.263175616161396,2.269050500208036,6.803019648242829,0.38076656188752483,nan,nan
N160,42.0,rbsog_batch,"P=25,M=12",1.3500570163727397,0.24415554654287544,0.4806930269941578,0.02690449839567183,25.0,12.0
N160,42.0,rbsog_batch,"P=50,M=12",1.1748414207212743,0.05982662897611933,0.7418267204311082,0.04152021079754016,50.0,12.0
N160,42.0,rbsog_batch,"P=100,M=12",1.1235305194979541,0.6219251739819747,0.040518176195427795,0.0022678115662755505,100.0,12.0
N160,42.0,rbsog_batch,"P=200,M=12",1.1429742059177874,0.29431602664858264,0.4117262493162555,0.023044412113595692,200.0,12.0
N160,42.0,rbsog_batch,"P=400,M=12",1.1016947305159872,0.3389376728752284,0.3297171558639639,0.01845434444189522,400.0,12.0
N160,42.0,rbsog_terms,"P=100,M=6",0.8976038192003909,0.12901673608306152,0.24675311809216754,0.013810828318752303,100.0,6.0
N160,42.0,rbsog_terms,"P=100,M=12",1.2072662292311616,0.3117155526517078,0.3137007560099288,0.017557902887766933,100.0,12.0
N160,42.0,rbsog_terms,"P=100,M=18",3.114582173382933,1.4294488174750368,1.3489008920276915,0.07549829069170225,100.0,18.0
N160,42.0,rbsog_terms,"P=100,M=24",10.052106334013912,5.62125967337688,5.168667369608692,0.28929149195893794,100.0,24.0
N160,43.0,pppm,grid=16^3,1.6766579123689433,2.2318486058867166,3.643226338197272,0.21664704597554701,nan,nan
N160,43.0,rbsog_batch,"P=25,M=12",1.150937359747238,0.4641165078939391,0.22776099901005065,0.013543969834271462,25.0,12.0
N160,43.0,rbsog_batch,"P=50,M=12",0.9886330647241228,0.4001073344490371,0.23256699904521802,0.013829762045329066,50.0,12.0
N160,43.0,rbsog_batch,"P=100,M=12",0.8785070751697851,0.43879781981907406,0.24411839016430742,0.014516673735832956,100.0,12.0
N160,43.0,rbsog_batch,"P=200,M=12",0.8595048363875789,0.5341476377643541,0.13749053409112894,0.008175972419869702,200.0,12.0
N160,43.0,rbsog_batch,"P=400,M=12",0.8409387267344495,0.35694493491146123,0.33751557816307626,0.02007060396251445,400.0,12.0
N160,43.0,rbsog_terms,"P=100,M=6",0.6775572050739332,0.26239946051991664,0.10325985166672966,0.006140420537951018,100.0,6.0
N160,43.0,rbsog_terms,"P=100,M=12",0.9169251700273773,0.3274342773093973,0.36855455098911954,0.021916358562599145,100.0,12.0
N160,43.0,rbsog_terms,"P=100,M=18",2.4565199119374768,1.4776035396492921,1.0687928919896499,0.06355652965656662,100.0,18.0
N160,43.0,rbsog_terms,"P=100,M=24",7.583611018346627,6.627779392694637,1.4650477417407777,0.08712010619091527,100.0,24.0
N160,44.0,pppm,grid=16^3,2.2695949773918715,2.965207426538706,5.96293329086358,0.2593616570480066,nan,nan
N160,44.0,rbsog_batch,"P=25,M=12",1.8094626113910837,0.45252447069750285,0.19336887810019446,0.008410704966702346,25.0,12.0
N160,44.0,rbsog_batch,"P=50,M=12",1.6192226218868033,0.315560544309562,0.5570973463311182,0.024231310972885355,50.0,12.0
