system,family,config,batch_size,sog_terms,force_rmse_rel,potential_error_rel,virial_error_rel,pressure_error_rel
N160,pppm,grid=16^3,nan,nan,2.0698095019740705,2.488702177544486,5.469726425767893,0.2855917549703595
N160,rbsog_batch,"P=100,M=12",100.0,12.0,1.1533339349326999,0.4738710478707568,0.22242793376305778,0.011142658451867571
N160,rbsog_batch,"P=200,M=12",200.0,12.0,1.1127909539336907,0.41066338994391743,0.278300513446673,0.01454880953966847
N160,rbsog_batch,"P=25,M=12",25.0,12.0,1.4368189958370206,0.38693217504477245,0.3006076347014676,0.016286391065548547
N160,rbsog_batch,"P=400,M=12",400.0,12.0,1.0916888283683812,0.35243124775093676,0.3599999036167496,0.018826172065853974
N160,rbsog_batch,"P=50,M=12",50.0,12.0,1.2608990357774001,0.25849816924490615,0.5104970219358148,0.026527094605251527
N160,rbsog_terms,"P=100,M=12",100.0,12.0,1.1686894627409892,0.28216434902039245,0.42352963284129747,0.021688071066409798
N160,rbsog_terms,"P=100,M=18",100.0,18.0,3.135764511263788,1.561225532901387,1.3281114965551988,0.06906562518028805
N160,rbsog_terms,"P=100,M=24",100.0,24.0,9.834284185068087,6.008501145807408,3.670984086629899,0.18896312090258463
N160,rbsog_terms,"P=100,M=6",100.0,6.0,0.8997253802446353,0.1918338995912118,0.1976673888374252,0.010173407272307141
N320,pppm,grid=16^3,nan,nan,1.4947248421898074,1.253351412381891,3.964761375987559,0.3236948835152325
N320,rbsog_batch,"P=100,M=12",100.0,12.0,0.832039161145536,0.28409197581665313,0.24777663632493643,0.01996460651717915
N320,rbsog_batch,"P=200,M=12",200.0,12.0,0.7974118967084333,0.31954832473705513,0.22114626194838882,0.01826167723826886
N320,rbsog_batch,"P=25,M=12",25.0,12.0,1.2041388731967388,0.2995334877303841,0.36381640141515276,0.03178504435447066
N320,rbsog_batch,"P=400,M=12",400.0,12.0,0.749727426443619,0.263222321425977,0.28564999693009224,0.02347994744222891
N320,rbsog_batch,"P=50,M=12",50.0,12.0,0.9779507705263154,0.25266868405665366,0.27427009875524594,0.022074690999357074
N320,rbsog_terms,"P=100,M=12",100.0,12.0,0.8803031327568202,0.24213968893002288,0.3366596556785806,0.027848966947946082
N320,rbsog_terms,"P=100,M=18",100.0,18.0,2.1632137175124804,1.4339374355630248,0.9997356917349158,0.08053447417788966
N320,rbsog_terms,"P=100,M=24",100.0,24.0,6.80178285857989,5.44841020559416,2.734122030086112,0.2155216591744652
N320,rbsog_terms,"P=100,M=6",100.0,6.0,0.7136145503435345,0.15975095268070652,0.13417316364699983,0.010738153034074605
N640,pppm,grid=16^3,nan,nan,1.7259467279774494,0.556638293779307,4.341573683331003,0.6009962030667856
N640,rbsog_batch,"P=100,M=12",100.0,12.0,1.157226949243513,0.23143373446228602,0.22746308204759114,0.031316472995915744
N640,rbsog_batch,"P=200,M=12",200.0,12.0,1.0204345243775672,0.17840977642434697,0.2755991754485871,0.038277351482147816
N640,rbsog_batch,"P=25,M=12",25.0,12.0,1.762330692059778,0.1771122782509453,0.27621414754512635,0.03837907778358326
N640,rbsog_batch,"P=400,M=12",400.0,12.0,0.9420167479180187,0.18479503045846546,0.2744793850845042,0.038156603598135344
N640,rbsog_batch,"P=50,M=12",50.0,12.0,1.430168621024597,0.2225219721336695,0.20645987344052355,0.029067746746399198
N640,rbsog_terms,"P=100,M=12",100.0,12.0,1.151332386035337,0.17298346172690648,0.2712628023213641,0.03787691865510983
N640,rbsog_terms,"P=100,M=18",100.0,18.0,2.583986556720711,1.0860309836464606,0.7410957361879817,0.1033147393735544
N640,rbsog_terms,"P=100,M=24",100.0,24.0,7.687799539798831,4.048123996281166,2.004067833123202,0.27995834260099556
N640,rbsog_terms,"P=100,M=6",100.0,6.0,1.0381311979243693,0.17655579099209065,0.04475739199973743,0.0063780271205026925
