seed,grid_size,force_rmse_rel,potential_error_rel,virial_error_rel,pressure_error_rel
42.0,16.0,2.1781182141678403,2.2217579733456776,7.969695968545861,0.45768048215404933
42.0,24.0,2.499492525033754,3.3842124882456983,7.287991764122959,0.41853184835445356
42.0,32.0,3.2175446656896436,4.5331082577401105,9.765302161085275,0.5607978295665107
42.0,48.0,1.9016989786090723,6.764653535613285,4.980662969354654,0.2860275019596488
42.0,64.0,2.211300708975565,9.050181423928263,7.132252205503308,0.40958809986507355
43.0,16.0,1.693304977922127,2.1680532065549003,4.616302422150206,0.283035285724773
43.0,24.0,2.273347663931883,3.2061278237274733,7.565342323498401,0.46384717254718366
43.0,32.0,3.0175991916781433,4.262019415607692,8.305195072249594,0.5092091126861737
43.0,48.0,1.772771847509518,6.339823539222049,4.769650913758585,0.29243740676640617
43.0,64.0,2.0749031756324303,8.460498175371237,6.017226383322754,0.3689289030334207
44.0,16.0,2.4831248306964326,2.9478978854133584,7.104878324920169,0.3154826232391849
44.0,24.0,1.9946047797184723,4.340673965947624,3.8718214983363226,0.17192305724992676
44.0,32.0,2.0060490622346454,5.893354242879196,5.498491107597752,0.24415314649343578
44.0,48.0,2.162636832831878,8.850801859766825,4.680692506967792,0.2078398929781515
44.0,64.0,1.9711262932684566,11.818389509221713,5.389634850283509,0.23931952992141908
