seed,batch_size,sog_terms,force_rmse_rel
42.0,25.0,6.0,0.9023155485123503
42.0,25.0,12.0,1.0485740133050343
42.0,25.0,18.0,2.0852875683744814
42.0,25.0,24.0,6.577018077881877
42.0,50.0,6.0,0.7619235857074322
42.0,50.0,12.0,0.8974780338125778
42.0,50.0,18.0,1.9461266517060931
42.0,50.0,24.0,6.073029960574201
42.0,100.0,6.0,0.6104842417728248
42.0,100.0,12.0,0.7430167624555293
42.0,100.0,18.0,1.8041246701695584
42.0,100.0,24.0,5.786796133898563
42.0,200.0,6.0,0.573036266074592
42.0,200.0,12.0,0.6889373864733473
42.0,200.0,18.0,1.7815310447633137
42.0,200.0,24.0,5.661289679346592
42.0,400.0,6.0,0.5271581958103526
42.0,400.0,12.0,0.6422355500617449
42.0,400.0,18.0,1.7241934112528317
42.0,400.0,24.0,5.546495722900436
43.0,25.0,6.0,1.7958841504715348
43.0,25.0,12.0,1.8917780257650074
43.0,25.0,18.0,4.129547544786365
43.0,25.0,24.0,12.016774842707534
43.0,50.0,6.0,1.2837621810839848
43.0,50.0,12.0,1.5022083432065054
43.0,50.0,18.0,3.6564001355277047
43.0,50.0,24.0,11.417596928359712
43.0,100.0,6.0,1.160125989669187
43.0,100.0,12.0,1.4388194908100442
43.0,100.0,18.0,3.4995808260156815
43.0,100.0,24.0,11.066590223610548
43.0,200.0,6.0,1.127315916044704
43.0,200.0,12.0,1.2997177574980194
43.0,200.0,18.0,3.360727559504151
43.0,200.0,24.0,10.673409097215021
43.0,400.0,6.0,1.0144486074313541
43.0,400.0,12.0,1.2169523654296626
43.0,400.0,18.0,3.2740199480189167
43.0,400.0,24.0,10.67691850638512
44.0,25.0,6.0,0.5441445449839613
44.0,25.0,12.0,0.5882498720306294
44.0,25.0,18.0,1.2905254203476182
44.0,25.0,24.0,4.100085730558061
44.0,50.0,6.0,0.44628234814379486
44.0,50.0,12.0,0.4944509826528908
44.0,50.0,18.0,1.1164061921134094
44.0,50.0,24.0,3.772585632979158
44.0,100.0,6.0,0.37310388396499194
44.0,100.0,12.0,0.4480376065050866
44.0,100.0,18.0,1.1276702015755329
44.0,100.0,24.0,3.531518636441348
44.0,200.0,6.0,0.32200579980977734
44.0,200.0,12.0,0.4200785974089585
44.0,200.0,18.0,1.093945646304182
44.0,200.0,24.0,3.435752475297647
44.0,400.0,6.0,0.32795731256502053
44.0,400.0,12.0,0.399958239750877
44.0,400.0,18.0,1.0791577650312139
44.0,400.0,24.0,3.4565389401931848
